rank,interface_family,assembly_fun_5,cute_design_5,one_hand_attach_5,one_hand_detach_5,cycle_durability_5,pla_fit_5,tolerance_robustness_5,print_orientation_freedom_5,small_module_fit_5,brand_differentiation_5,raw_50,total_100,top10,recommendation,evidence_level,primary_risk,reference_url,checked_at
1,Guided slide plus terminal detent,5,5,5,5,4,5,4,4,5,5,47,94,yes,TOP 3,"Established hybrid pattern; supported by rail and detent platform evidence","Detent fatigue or binding if the load path and click feature are not separated",https://www.multiboard.io/parts-library/multipoint/rail-sliders,2026-07-18
2,Hook-and-slide lock plus terminal catch,4,5,5,4,5,5,4,4,5,5,46,92,yes,TOP 3,"Commercial platform evidence from tool-free hook/slot systems","Removal motion can be unclear or require lift-plus-release",https://www.ikea.com/es/en/p/skadis-hook-white-20519888/,2026-07-18
3,Short-turn bayonet plus detent,5,5,5,5,4,4,4,3,5,5,45,90,yes,TOP 3,"Established bayonet/quarter-turn family and magnetic-mechanical twist products","Rotation clearance and print orientation can make fit inconsistent",https://www.fidlock.com/consumer/media/24/86/59/1733495562/TWIST_EU_uniconnector-xl.pdf,2026-07-18
4,Keyed gravity drop-in grid,2,5,5,5,5,5,5,5,5,2,44,88,yes,Strong benchmark,"Gridfinity proves highly tolerant no-flex expansion","Weak tactile reward and poor retention when inverted or bumped",https://gridfinity.xyz/,2026-07-18
5,Magnetic-mechanical dock,5,5,5,5,5,3,4,4,4,4,44,88,yes,Premium experiment,"Official FIDLOCK evidence for guided one-hand closing and audible mechanical lock","Magnets add BOM/polarity/child-safety/IP constraints and are not PLA-only",https://www.fidlock.com/components/en/home-alt,2026-07-18
6,Unlatched guided rail,2,4,5,5,5,5,4,5,5,3,43,86,yes,Utility option,"Rail systems show simple repositioning and broad SKU expansion","No positive confirmation and modules can drift or slide out",https://www.ikea.com/us/en/p/kungsfors-s-hook-stainless-steel-20334922/,2026-07-18
7,Gravity hook lock,2,4,5,4,5,5,5,5,5,2,42,84,yes,Utility option,"SKADIS and kitchen rail systems prove low-learning tool-free use","Can lift with the stored object and offers little proprietary UX",https://www.ikea.com/pt/en/p/skadis-hook-white-20320802/,2026-07-18
8,Tapered wedge lock,3,4,4,4,5,5,4,4,4,4,41,82,yes,Conditional,"Common self-tightening mechanical pattern; limited direct consumer-platform evidence","Wear and wedging force can turn easy removal into sticking",https://techcenter.lanxess.com/scp/americas/en/docguard/Joining_Guide.pdf?docId=77016,2026-07-18
9,Tapered dovetail slide,3,4,4,4,5,5,3,4,4,4,40,80,yes,Conditional,"Established linear guiding pattern","Long contact surfaces amplify FDM dimensional error and friction",https://www.sciencedirect.com/topics/engineering/slideways,2026-07-18
10,Replaceable spring clip,4,4,5,4,4,4,3,3,5,4,40,80,yes,Conditional,"Snap-fit engineering guidance supports low-cost quick fastening","PLA fatigue remains; replacement part adds support and orientation rules",https://techcenter.lanxess.com/scp/americas/en/docguard/Joining_Guide.pdf?docId=77016,2026-07-18
11,Ball detent with separate hardware,5,4,5,5,5,2,4,3,3,4,40,80,no,Not MVP,"Established mechanical detent; limited direct household-platform evidence","Metal ball/spring procurement and assembly defeat PLA-first simplicity",https://www.fidlock.com/components/en/home-alt,2026-07-18
12,Multi-turn twist or coarse thread,4,4,4,4,5,4,3,3,3,4,38,76,no,Not preferred,"Multiboard bolts demonstrate printable threaded retention","Slower interaction; cross-threading and wear conflict with playful simplicity",https://www.multiboard.io/knowledge-hub/,2026-07-18
13,Cantilever snap fit,5,5,5,3,2,2,2,2,5,5,36,72,no,Prototype only,"Extensive plastics joining guidance","Repeated flex concentrates strain; brittle PLA and Z-layer weakness are poor matches",https://techcenter.lanxess.com/scp/americas/en/docguard/Joining_Guide.pdf?docId=77016,2026-07-18
14,Cam lock,4,3,4,4,5,4,3,3,2,3,35,70,no,Not preferred,"Established furniture and enclosure mechanism; limited small-module evidence","More parts and user steps than the desk MVP needs",https://www.protolabs.com/resources/guides-and-trend-reports/injection-molding-guide-process-design-tips-materials/,2026-07-18
15,Pure press fit,2,4,4,2,3,4,1,5,5,2,32,64,no,Reject for repeated interface,"Common plastic joining method","FDM tolerance and wear directly change insertion force; poor repeatability",https://techcenter.lanxess.com/scp/americas/en/docguard/Joining_Guide.pdf?docId=77016,2026-07-18
16,PLA living-hinge latch,4,5,5,4,1,1,1,1,4,4,30,60,no,Reject,"Living-hinge material guidance favors PP/PE or nylon processes rather than brittle PLA FDM","Early fatigue and layer-direction fracture",https://www.protolabs.com/resources/blog/how-to-design-3d-printed-living-hinges/,2026-07-18
