rank,platform_area,marketability_5,repeat_purchase_5,pla_fit_5,print_time_efficiency_5,low_failure_5,shipping_5,color_customization_5,sku_expandability_5,platform_strength_5,raw_45,normalized_100,verdict,key_evidence,key_limitation,source_url,checked_at
1,Desk micro-organization,5,5,5,4,5,5,5,5,5,44,98,GO,"Modular desk organizer examples show 5 trays and 20+ blocks; desk and cable models have substantial marketplace activity","Crowded category; a new base must earn switching cost",https://makerworld.com/en/models/140058-modular-desk-organizer,2026-07-18
2,Stationery and craft workstation,4,5,5,5,5,5,5,5,5,44,98,GO,"Modular desktop organizer listings show high review counts and craft tools create many object-specific holders","Low-price commodity organizers cap willingness to pay without a coherent system",https://www.etsy.com/market/3d_print_tool_organizer,2026-07-18
3,Gaming setup,5,4,5,4,5,5,5,5,5,43,96,GO WITH LIMITATIONS,"Controller/headset holder categories contain hundreds to thousands of listings and reviews; color and gamertag personalization are visible","Device generations and IP-themed products create compatibility and trademark risk",https://www.etsy.com/market/headset_and_controller_holder_desk,2026-07-18
4,Collectible figure display,5,5,5,4,5,4,5,5,5,43,96,GO WITH LIMITATIONS,"Modular risers and minifigure systems show repeated expansion behavior and hundreds to thousands of reviews","Collection dimensions vary; licensed themes must not become the business model",https://www.etsy.com/market/figure_display_stands,2026-07-18
5,Hobby and miniature workstation,4,5,5,4,5,5,5,5,5,43,96,GO WITH LIMITATIONS,"Paints, brushes, cutters and project trays naturally create object-specific repeat modules","Fragmented hobby standards require evidence before stocking narrow holders",https://www.etsy.com/market/3d_print_tool_organizer,2026-07-18
6,Dry vanity and beauty organization,4,5,5,4,5,5,5,5,4,42,93,GO WITH LIMITATIONS,"Modular vanity organizers and color-led sets are sold as printed products and files","Cosmetic residue and cleaning expectations require a dry-zone boundary",https://www.etsy.com/market/makeup_organizer_3d_printed,2026-07-18
7,3D-printer maintenance station,4,5,5,4,5,5,4,5,5,42,93,GO WITH LIMITATIONS,"MakerWorld shows strong demand for printer-specific tools, clips, trays and expandable tool boxes","Many customers own printers and may print free files instead of buying finished goods",https://makerworld.com/en/collections/570027-printer-tools,2026-07-18
8,Cable and small-device management,5,4,5,5,5,5,4,4,4,41,91,GO WITH LIMITATIONS,"Cable boxes, clips and under-desk holders repeatedly appear in high-download collections","Commodity pricing and adhesive/clamp variation weaken a proprietary platform",https://makerworld.com/collections/4822686-gridfinity,2026-07-18
9,Camera creator desk,4,4,5,4,5,5,4,5,4,40,89,GO WITH LIMITATIONS,"Battery, SD-card and lens-cap holders show paid demand; camera-specific Gridfinity products receive positive fit feedback","Model fragmentation creates long-tail inventory and obsolescence",https://www.etsy.com/market/camera_battery_organizer,2026-07-18
10,Dry coffee preparation station,5,4,3,4,5,4,5,5,4,39,87,HOLD,"Coffee organizer categories show 100+ to 2,000+ listings and some products with thousands of reviews","Heat, water, food contact and machine-specific dimensions narrow safe PLA use",https://www.etsy.com/market/espresso_organizer_3d,2026-07-18
